SITEUUID,DEVICEUUID,STAMP,DEVICE_TYPE,DEVICE_ID,DATA,DATECREATED,SERVER_SOURCE
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T15:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.0, ""accumulated_nanoampere_hour"": 1319402540347, ""minimum_milliampere"": 1228.9895, ""average_milliampere"": 1384.42643805556, ""maximum_milliampere"": 1539.6, ""supply_voltage"": 4, ""temperature_celsius"": 22}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T14:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1318138598509, ""minimum_milliampere"": 1257.5383, ""average_milliampere"": 1346.23246541667, ""maximum_milliampere"": 1454.2926, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T13:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.0, ""accumulated_nanoampere_hour"": 1316795898427, ""minimum_milliampere"": 1250.6165, ""average_milliampere"": 1340.77651402778, ""maximum_milliampere"": 1443.9094, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T12:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.5, ""accumulated_nanoampere_hour"": 1315463044323, ""minimum_milliampere"": 1240.239, ""average_milliampere"": 1318.5039275, ""maximum_milliampere"": 1434.3926, ""supply_voltage"": 4, ""temperature_celsius"": 24.5}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T11:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -60.0, ""accumulated_nanoampere_hour"": 1314140537493, ""minimum_milliampere"": 1228.2043, ""average_milliampere"": 1304.47236729167, ""maximum_milliampere"": 1428.8683, ""supply_voltage"": 4, ""temperature_celsius"": 25}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T10:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.0, ""accumulated_nanoampere_hour"": 1312829844249, ""minimum_milliampere"": 1225.689, ""average_milliampere"": 1303.58436340278, ""maximum_milliampere"": 1414.622, ""supply_voltage"": 4, ""temperature_celsius"": 25}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T09:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.0, ""accumulated_nanoampere_hour"": 1311525317643, ""minimum_milliampere"": 1213.9868, ""average_milliampere"": 1302.437470625, ""maximum_milliampere"": 1420.4733, ""supply_voltage"": 4, ""temperature_celsius"": 25}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T08:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.5, ""accumulated_nanoampere_hour"": 1310215327724, ""minimum_milliampere"": 1217.9528, ""average_milliampere"": 1305.09223444444, ""maximum_milliampere"": 1463.6799, ""supply_voltage"": 4, ""temperature_celsius"": 25}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T07:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -59.5, ""accumulated_nanoampere_hour"": 1308906183242, ""minimum_milliampere"": 1275.0569, ""average_milliampere"": 1371.53163645833, ""maximum_milliampere"": 1481.7555, ""supply_voltage"": 4, ""temperature_celsius"": 25}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-18T06:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.0, ""accumulated_nanoampere_hour"": 1307533170000, ""minimum_milliampere"": 1293.6805, ""average_milliampere"": 1374.32302583333, ""maximum_milliampere"": 1499.2275, ""supply_voltage"": 4, ""temperature_celsius"": 25}",2000-01-01T20:00:00.0000000Z,deviaqpro
