dev_eui,building_uuid
24e124723f033362,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031182,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e306438,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124716e465734,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e301928,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124723e507618,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124716e465731,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422823,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124716e465635,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f073898,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f075500,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f071440,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124617e420961,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422815,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f077342,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124723e509811,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422756,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e382063,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f074022,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124716e466628,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422818,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124723e508277,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e423259,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124723f030489,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031251,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f075369,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f073797,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031083,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f071540,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422645,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e382231,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f076455,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422547,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e381768,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031137,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031400,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f077327,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f030949,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e381972,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124723f030578,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e382336,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f071545,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031147,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422527,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124136f112040,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124723e509836,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031316,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031324,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124707e422550,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031335,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124408f076519,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124141f031258,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e388085,12dffa2f-9137-4c80-be2a-ee57b3ab2160
24e124538e386197,12dffa2f-9137-4c80-be2a-ee57b3ab2160
