date, word 1, word 2
12/24, VOWELS, SUNBATHE
 , , 
12/23, vineyard, dropout 
 , , 
12/22, FLAMETHROWER, RUB 
12/21, PAPRIKAS, SYMBIOTIC 
12/20, FLANKED, DRAMATIZE 
12/19, HARMONICS, SKEW 
12/18, JARGON, NITPICKY 
12/17, DOWNRIGHT, TRACK 
 , , 
12/16, amphibians, snifter 
 , , 
12/15, STARVE, EQUINOX 
12/14, OXYTOCIC, CHALCEDONIC 
12/13, BLOTCHIER, REFORMABLE 
 , , 
12/12, upcoming, galaxy 
 , , 
12/11, PROMISCUOUS, SHAWL 
12/10, FROSTBITE, EUNUCH 
 , , 
12/09, two, oceanography 
12/08, jeremiad, duopoly 
 , , 
12/07, FREQUENTED, DAIKON 
 , , 
12/06, bumpkin, nutritional 
12/05, plaza, anachronism 
 , , 
12/04, FLAGSHIP, PRETAX 
12/03, OVERBOUGHT, TWITCH 
12/02, WISDOM, MIRTHFUL  
12/01, MOJITOS, SQUASHERS 
11/30, WHUP, PATHFINDER 
11/29, CLIQUES, SPRINKLING 
11/28, HUMONGOUS, STARCHY 
11/27, PACKAGE, EMBROIL 
11/26, VAPORIZE, ELEMENT 
11/25, FURNACE, EXHORTED 
11/24, ORDINAL, LEATHERWORK 
11/23, HAZARDOUS, SQUINT 
11/22, PILGRIM, MAJESTY 
11/21, CARDSHARP, PROVING 
11/20, BULWARK, KVETCH 
11/19, MERCHANT, TUSKY 
11/18, FLIMSIES, SOBRIQUET  
 , , 
11/17, flextime, earbuds
 , , 
11/16, ARACHNOIDS, SPIGOT
11/15, JUMBLED, DIVINITY
11/14, BACKROW, WALKTHROUGH
11/13, SCREWUP, PLINTH
11/12, OBVIOUS, STYLIZING 
11/11, KARMIC, CRYPTOLOGY 
11/10, ANTHOLOGIC, COCKAMAMIE 
11/09, QUERYING, GIZMOS
11/08, PUKERS, SYMBOLISM
11/07, HOTWIRED, DRIVEABLE 
11/06, JUVENILE, EMBARK 
11/05, OVERLENGTH, HEALTHFUL 
11/04, FORNICATE, EXEMPT
11/03, HUMORS, SIZABLE
 , , 
11/02, walkathon, nervy
 , , 
11/01, ARCOLOGIES, SQUELCH
 , , 
10/31, juice, exoskeleton
 , , 
10/30, PAYBACK, KINGMAKER  
10/29, FORBADE, ECLIPTIC 
10/28, LIMBO, OUTWARDLY
10/27, UNQUOTE, EXFOLIATE
10/26, OVERBOWL, LITANY
10/25, BUSHWALKED, DUALIZE
10/24, FEARED, DUCKLING
10/23, INJUSTICE, ENWRAP
10/22, FILMOGRAPHY, YEP
10/21, BIVOUACS, SALESMAN
10/20, CHOMPING, GLITZY
10/19, PALINDROMIC, CATACOMB
10/18, ADJUST, TRANQUILITY
10/17, MYSELF, FRAUGHT
10/16, AUTOMOTIVE, EXPLAIN
10/15, EMOJIS, SKYWARD
 , , 
10/14, pivot, trackbed
 , , 
10/13, JOVIALITY, YARDAGE
 , , 
10/12, quinoa, awkwardly
 , , 
10/11, CASHBOXES, SINGER
10/10, WICKER, RECOMPLETION 
 , , 
10/09, friend, deployment
 , , 
10/08, AUTOMOBILE, EXTRAS 
10/07, JOLTING, GROUNDWORK 
10/06, GRAPHITE, EXPLODE 
10/05, FEVERS, SLIPKNOT 
 , , 
10/04, aqueduct, toponym
10/03, fjords, spinach
 , , 
10/02, PHONING, GRACKLE 
10/01, OBTAINS, SWORDFISH 
09/30, WAGS, SUBJECTIVE 
09/29, ZIRCONIUM, MODALS
09/28, FUNGUS, SHOREBIRD
09/27, VANQUISHED, DOZEN
 , , 
09/26, potherb, brazenly
 , , 
09/25, INEXTRICABLE, ELBOW
09/24, MOLAR, REDUCTIVE
09/23, HOUNDS, SPARKPLUG
09/22, CONJURING, GLYPH
 , , 
09/21, product, twelfth
 , , 
09/20, TALKIER, RAINBOWED
09/19, CLOVERLEAF, FUNKY 
09/18, AMPHIBIOUS, SEQUIN 
09/17, FLOW, WHATABOUTISM 
09/16, HAWK, KRYPTONITE 
09/15, PREDIGITAL, LIMBO 
09/14, AFTERGLOW, WHIZ 
09/13, MOURNED, DELIGHT 
 , , 
09/12, judiciary, yoking
 , , 
09/11, VIXENS, STARCHY 
 , , 
09/10, flambe, encrypt
 , , 
09/09, KAYOS, SCREWDRIVER
09/08, COMPLAINER, RAILWAY
09/07, WORKFLOWS, SIGHTING
 , , 
09/06, cacophonous, stigma
09/05, enjoyment, textspeak
09/04, joysticks, schmutz
 , , 
